"scrape_datetime","data_url","as_of_date","model","lead_time"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/honda/eny1","2024/10/08","Honda e:Ny1","4-6 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/hyundai/ioniq-5","2024/10/08","Hyundai IONIQ 5","2-3 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/hyundai/ioniq-5-n","2024/10/08","Hyundai IONIQ 5 N","3-5 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/hyundai/ioniq-6","2024/10/08","Hyundai IONIQ 6","2-3 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/hyundai/kona-elektro","2024/10/08","Hyundai Kona Elektro","3-4 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/jaguar/i-pace","2024/10/08","Jaguar I-Pace","Vorübergehender Bestellstopp"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/jeep/avenger","2024/10/08","Jeep Avenger","4-6 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.dehttps://www.carwow.de/kia/e-soul","2024/10/08","KIA e-Soul","6-8 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/kia/ev6","2024/10/08","KIA EV6","4-6 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/kia/ev9","2024/10/08","KIA EV9","4-6 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.dehttps://www.carwow.de/kia/e-niro","2024/10/08","KIA Niro EV","4-5 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/lexus/rz","2024/10/08","Lexus RZ","4-6 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/lotus/eletre","2024/10/08","Lotus Eletre","3-4 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/lotus/emeya","2024/10/08","Lotus Emeya","1 Monat"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/lucid/air","2024/10/08","Lucid Air","1-6 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/maxus/edeliver-3","2024/10/08","Maxus eDeliver 3","4 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/maxus/edeliver-7","2024/10/08","Maxus eDeliver 7","4 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/maxus/edeliver-9","2024/10/08","Maxus eDeliver 9","4 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/maxus/euniq-6","2024/10/08","Maxus Euniq 6","4 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/maxus/mifa-9","2024/10/08","Maxus MIFA 9","4 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/maxus/t90-ev","2024/10/08","Maxus T90 EV","4 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/mazda/mx-30","2024/10/08","Mazda MX-30","5 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/mg/4","2024/10/08","MG4","1 Monat"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/mg/mg5","2024/10/08","MG5","1 Monat"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/mg/marvel-r","2024/10/08","MG Marvel R","1-2 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/mg/zs","2024/10/08","MG ZS","1 Monat"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/mini/aceman","2024/10/08","MINI Aceman","6-9 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/mini/cooper-electric","2024/10/08","MINI Cooper Electric","3-6 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/mini/cooper-se-3-tuerer","2024/10/08","MINI Countryman Electric","5-8 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/nio/el7","2024/10/08","NIO EL7","1-4 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/nio/et5","2024/10/08","NIO ET5","1-4 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/nio/et7","2024/10/08","NIO ET7","1 Monat"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/nissan/ariya","2024/10/08","Nissan Ariya","6-8 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/nissan/leaf","2024/10/08","Nissan Leaf","9 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/nissan/leaf","2024/10/08","Nissan Townstar EV Kastenwagen","6-8 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/opel/astra-electric","2024/10/08","Opel Astra Electric","2 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/opel/astra-electric-sports-tourer","2024/10/08","Opel Astra Electric Sports Tourer","2 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/opel/combo-e-cargo","2024/10/08","Opel Combo-e Cargo","6 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/opel/combo-e-life","2024/10/08","Opel Combo-e Life","4 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/opel/corsa-e","2024/10/08","Opel Corsa-e","3 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/opel/frontera-e","2024/10/08","Opel Frontera Electric","8 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/opel/mokka-e","2024/10/08","Opel Mokka-e","3 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/opel/zafira-e-life","2024/10/08","Opel Zafira-e Life","5 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.dehttps://www.carwow.de/peugeot/e-208","2024/10/08","Peugeot e-208","6-7 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/peugeot/e-2008","2024/10/08","Peugeot e-2008","5-7 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/peugeot/e-expert-kastenwagen","2024/10/08","Peugeot e-Expert Kastenwagen","6 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/peugeot/e-expert-kombi","2024/10/08","Peugeot e-Expert Kombi","4-6 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/peugeot/e-rifter","2024/10/08","Peugeot e-Rifter","4 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/peugeot/e-traveller","2024/10/08","Peugeot e-Traveller","6 Monate"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/polestar/polestar-2","2024/10/08","Polestar 2","1 Monat"
"2024-10-10 13:08:03.773052+00:00","https://www.carwow.de/polestar/polestar-3","2024/10/08","Polestar 3","5-6 Monate"
